task 0 has started...
task 1 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
 500  26918073.44353214  26918073.44353301  0.00000086
 501  26918073.44354214  26918073.44354304  0.00000090
 502  26918073.44355473  26918073.44355553  0.00000080
 503  26918073.44356477  26918073.44356570  0.00000093
 504  26918073.44357483  26918073.44357582  0.00000099
 505  26918073.44358768  26918073.44358848  0.00000080
 506  26918073.44359813  26918073.44359893  0.00000080
 507  26918073.44360822  26918073.44360909  0.00000087
 508  26918073.44361820  26918073.44361912  0.00000092
 509  26918073.44362830  26918073.44362918  0.00000088
 510  26918073.44363821  26918073.44363902  0.00000081
 511  26918073.44364808  26918073.44364898  0.00000090
 512  26918073.44365837  26918073.44365929  0.00000092
 513  26918073.44366850  26918073.44366925  0.00000075
 514  26918073.44367840  26918073.44367925  0.00000085
 515  26918073.44369125  26918073.44369208  0.00000083
 516  26918073.44370178  26918073.44370262  0.00000084
 517  26918073.44371194  26918073.44371274  0.00000081
 518  26918073.44372199  26918073.44372284  0.00000085
 519  26918073.44373202  26918073.44373300  0.00000098
 520  26918073.44374458  26918073.44374546  0.00000088
 521  26918073.44375556  26918073.44375649  0.00000094
 522  26918073.44376574  26918073.44376649  0.00000075
 523  26918073.44377592  26918073.44377689  0.00000097
 524  26918073.44378600  26918073.44378702  0.00000102
 525  26918073.44379622  26918073.44379715  0.00000092
 526  26918073.44380902  26918073.44381005  0.00000102
 527  26918073.44381966  26918073.44382063  0.00000097
 528  26918073.44383005  26918073.44383092  0.00000087
 529  26918073.44384026  26918073.44384116  0.00000090
 530  26918073.44385061  26918073.44385150  0.00000090
 531  26918073.44386028  26918073.44386120  0.00000092
 532  26918073.44387224  26918073.44387303  0.00000079
 533  26918073.44388235  26918073.44388321  0.00000086
 534  26918073.44389241  26918073.44389328  0.00000088
 535  26918073.44390236  26918073.44390322  0.00000086
 536  26918073.44391495  26918073.44391587  0.00000091
 537  26918073.44392544  26918073.44392629  0.00000085
 538  26918073.44393537  26918073.44393630  0.00000093
 539  26918073.44394556  26918073.44394643  0.00000087
 540  26918073.44395806  26918073.44395891  0.00000085
 541  26918073.44396856  26918073.44396931  0.00000075
 542  26918073.44397885  26918073.44397975  0.00000090
 543  26918073.44398886  26918073.44398969  0.00000082
 544  26918073.44399894  26918073.44399979  0.00000086
 545  26918073.44401181  26918073.44401267  0.00000086
 546  26918073.44402261  26918073.44402348  0.00000087
 547  26918073.44403262  26918073.44403353  0.00000092
 548  26918073.44404330  26918073.44404417  0.00000086
 549  26918073.44405406  26918073.44405502  0.00000097
 550  26918073.44406453  26918073.44406544  0.00000091
